Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1335769184878419969,i feel so depressed wth with these last two months.....,abi,aby_pacman,2020-12-07T02:12:45.000Z,Mon Dec 07 02:12:45 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335769169619513347,spotify made clairo my number one artist from that one month i was really depressed and wouldnt stop listening to immunity on repeat,ashleigh,bmthall,2020-12-07T02:12:42.000Z,Mon Dec 07 02:12:42 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335769148719173632,"Happy Monday friends 
Good Morning Malaysia 
Alhamdulillah..

7th. December 2020
21 RabiulAkhir 1442H

And whoever turns away from My remembrance – indeed, he will have a depressed life.

Al Quran/Surah Taha 
20 : 124 https://t.co/zZWW2STkTc",ReeN ????,ReeNGaston,2020-12-07T02:12:37.000Z,Mon Dec 07 02:12:37 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Eoma9aIVEAAg_dD.jpg,,,
1335769140317941761,"RT @Jo_Tovey : Australia is still spending millions to keep a single family with very small children - who had a loving community - depressed, lonely and in detention on remote island. Story by ?@joshgnosis?  https://t.co/r1I3yds2s0",francescapercy,francescapercy,2020-12-07T02:12:35.000Z,Mon Dec 07 02:12:35 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.theguardian.com/australia-news/2020/dec/04/1000-days-later-the-biloela-family-spending-their-third-christmas-in-detention ,0,1,,,,,
1335769135599529985,RT @byindiaroyale : I do not see how people smoke. Two puffs and I’m depressed. It make me sit back and see how fucked up this world really is.,? Sweetie,_PrincessssD,2020-12-07T02:12:33.000Z,Mon Dec 07 02:12:33 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335769131568787456,RT @kayladezre : DEPRESSED https://t.co/d87CIsupWr,mekyel myurs,coolkidmeek,2020-12-07T02:12:33.000Z,Mon Dec 07 02:12:33 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/_demetriaaxo/status/1335674393503076352 ,0,0,,,,,
1335769120424472579,Depressed I’m so tired of work,Makayla,aeonsrose,2020-12-07T02:12:30.000Z,Mon Dec 07 02:12:30 +0000 2020,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,0,0,,,,,
1335769112056893443,"RT @ConceptualJames : Young, depressed people: None of this feels real *wilts*

That's because it's not. Get off your damn phone and interact with the world. Real life is what happens when you're not online.",Test Valve 254,testvalve254,2020-12-07T02:12:28.000Z,Mon Dec 07 02:12:28 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335769098517614592,RT @Fact : Studies show that people who are lonely and/or depressed are more likely to sleep with multiple pillows.,??Stacy Elizabeth??,Momofcatsonly,2020-12-07T02:12:25.000Z,Mon Dec 07 02:12:25 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1335769092427575296,RT @jennyjaffe : I don’t think I’m *depressed* depressed but I for sure have the Covid Sadsies.,BCD (Voted),SmaugDude,2020-12-07T02:12:23.000Z,Mon Dec 07 02:12:23 +0000 2020,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,0,0,,,,,
1335769090917601280,@depressed_AFC @Ietmeshine @Kiradontmiss @g7byy @snootid @JefferyxBball @albert12798 i’ll take it??,k??,kayykardashhh,2020-12-07T02:12:23.000Z,Mon Dec 07 02:12:23 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,7,,,,,
1335769088648507399,@hum4nl0ve I'm too depressed to get out of bed but if I don't move my body it's only going to hurt worse and worse.,'dicea??(they),thedicea,2020-12-07T02:12:22.000Z,Mon Dec 07 02:12:22 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1335769075880845312,im way less depressed than before which is super cool and took a lot of work so im gonna give myself credit!!!! but jesus christ how did i have that kind of drive even less than a year ago,kelsey,ryukopx,2020-12-07T02:12:19.000Z,Mon Dec 07 02:12:19 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1335769059305066497,"RT @politvidchannel : Trump Advisers are saying Trump is ‘Moody,’ ‘Depressed,’ and Barely Showing Up to Work",TJ,tjh1959,2020-12-07T02:12:15.000Z,Mon Dec 07 02:12:15 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
